generation,best_fitness,mean_fitness,best_ticks,mean_ticks,best_fruits,mean_fruits,deaths_wall,deaths_self,deaths_stall,deaths_timeout
1,-40.00,-344.94,60,10.65,0,0.00,70,107,23,0
2,-40.00,-237.78,60,18.29,0,0.00,82,68,50,0
3,-40.00,-273.33,60,23.16,0,0.00,50,82,68,0
4,-40.00,-220.61,60,27.88,0,0.00,53,63,84,0
5,-40.00,-223.17,60,27.99,0,0.00,52,64,84,0
6,-40.00,-247.94,60,25.73,0,0.00,52,73,75,0
7,-40.00,-255.69,60,27.00,0,0.00,43,76,81,0
8,-40.00,-228.43,60,28.41,0,0.00,48,66,86,0
9,-40.00,-225.22,60,29.80,0,0.00,44,65,91,0
10,-40.00,-225.16,60,29.86,0,0.00,44,65,91,0
11,-40.00,-226.07,60,27.25,0,0.00,54,65,81,0
12,-40.00,-214.44,60,29.05,0,0.00,53,61,86,0
13,-40.00,-198.41,60,29.73,0,0.00,55,55,90,0
14,-40.00,-219.19,60,31.68,0,0.00,39,63,98,0
15,-40.00,-195.66,60,37.24,0,0.00,27,55,118,0
16,-40.00,-230.06,60,30.98,0,0.00,38,67,95,0
17,-38.00,-249.54,28,29.00,0,0.00,38,74,88,0
18,-38.00,-228.33,28,28.51,0,0.00,48,66,86,0
19,-38.00,-236.46,28,27.88,0,0.00,48,69,83,0
20,-38.00,-222.09,28,30.25,0,0.00,45,64,91,0
21,-38.00,-229.06,28,32.83,0,0.00,33,67,100,0
22,-38.00,-133.30,28,37.86,0,0.00,52,32,116,0
23,-38.00,-184.53,28,36.52,0,0.00,38,51,111,0
24,-38.00,-175.59,28,38.80,0,0.00,33,48,119,0
25,-38.00,-142.78,28,40.41,0,0.00,40,36,124,0
26,-38.00,-173.37,28,37.84,0,0.00,37,47,116,0
27,-38.00,-159.06,28,39.99,0,0.00,35,42,123,0
28,-38.00,-154.84,28,37.01,0,0.00,48,40,112,0
29,-38.00,-151.06,28,40.49,0,0.00,35,39,126,0
30,-38.00,-151.34,28,39.70,0,0.00,38,39,123,0
31,-38.00,-162.32,28,38.03,0,0.00,42,43,115,0
32,-38.00,-150.97,28,40.41,0,0.00,36,39,125,0
33,-38.00,-139.34,28,42.88,0,0.00,31,35,134,0
34,-38.00,-140.10,28,41.10,0,0.00,37,35,128,0
35,-38.00,-100.53,28,46.19,0,0.00,34,21,145,0
36,-38.00,-183.84,28,38.56,0,0.00,30,51,119,0
37,-38.00,-118.67,28,41.19,0,0.00,45,27,128,0
38,-38.00,-176.13,28,38.26,0,0.00,33,48,119,0
39,-38.00,-173.67,28,36.35,0,0.00,44,47,109,0
40,-38.00,-145.36,28,41.19,0,0.00,35,37,128,0
41,-38.00,-109.61,28,42.91,0,0.00,44,24,132,0
42,-38.00,-115.05,28,43.32,0,0.00,39,26,135,0
43,-38.00,-114.58,28,44.98,0,0.00,32,26,142,0
44,-38.00,-129.12,28,41.24,0,0.00,42,31,127,0
45,-38.00,-137.70,28,39.31,0,0.00,47,34,119,0
46,-38.00,-126.22,28,41.47,0,0.00,43,30,127,0
47,-38.00,-153.82,28,39.55,0,0.00,39,40,121,0
48,-38.00,-165.06,28,38.98,0,0.00,35,44,121,0
49,-38.00,-137.44,28,40.59,0,0.00,41,34,125,0
50,-38.00,-131.79,28,41.92,0,0.00,37,32,131,0
51,-38.00,-128.62,28,42.93,0,0.00,35,31,134,0
52,-38.00,-139.98,28,40.89,0,0.00,39,35,126,0
53,-38.00,-146.02,28,39.17,0,0.00,43,37,120,0
54,-38.00,-144.49,28,43.76,0,0.00,25,37,138,0
55,-38.00,-131.56,28,41.81,0,0.00,39,32,129,0
56,-38.00,-118.32,28,41.19,0,0.00,47,27,126,0
57,-38.00,-134.54,28,40.48,0,0.00,44,33,123,0
58,-38.00,-121.94,28,46.82,0,0.00,22,29,149,0
59,-38.00,-162.30,28,38.91,0,0.00,37,43,120,0
60,-38.00,-153.54,28,41.02,0,0.00,32,40,128,0
61,-38.00,-118.09,28,42.44,0,0.00,41,27,132,0
62,-38.00,-142.91,28,40.46,0,0.00,39,36,125,0
63,-38.00,-162.00,28,39.72,0,0.00,34,43,123,0
64,-38.00,-156.20,28,41.20,0,0.00,30,41,129,0
65,-38.00,-106.28,28,45.45,0,0.00,34,23,143,0
66,-38.00,-148.59,28,40.12,0,0.00,37,38,125,0
67,-38.00,-164.63,28,39.93,0,0.00,32,44,124,0
68,-38.00,-126.34,28,42.20,0,0.00,38,30,132,0
69,-38.00,-139.21,28,43.53,0,0.00,28,35,137,0
70,-38.00,-135.12,28,40.06,0,0.00,43,33,124,0
71,-38.00,-148.28,28,40.43,0,0.00,37,38,125,0
72,-38.00,-131.18,28,43.89,0,0.00,29,32,139,0
73,-38.00,-147.53,28,42.54,0,0.00,29,38,133,0
74,-38.00,-134.12,28,42.09,0,0.00,37,33,130,0
75,-38.00,-141.99,28,43.09,0,0.00,29,36,135,0
76,-38.00,-115.56,28,41.62,0,0.00,46,26,128,0
77,-38.00,-154.21,28,38.99,0,0.00,40,40,120,0
78,-38.00,-139.36,28,43.38,0,0.00,28,35,137,0
79,-38.00,-111.97,28,44.58,0,0.00,35,25,140,0
80,-38.00,-134.94,28,40.41,0,0.00,42,33,125,0
81,-38.00,-167.60,28,39.28,0,0.00,33,45,122,0
82,-38.00,-142.60,28,41.96,0,0.00,32,36,132,0
83,-38.00,-128.01,28,45.07,0,0.00,26,31,143,0
84,-38.00,-176.31,28,36.55,0,0.00,42,48,110,0
85,-38.00,-136.38,28,43.35,0,0.00,31,34,135,0
86,-38.00,-112.50,28,42.52,0,0.00,44,25,131,0
87,-38.00,-126.19,28,42.19,0,0.00,39,30,131,0
88,-38.00,-128.69,28,43.03,0,0.00,34,31,135,0
89,-38.00,-100.85,28,45.70,0,0.00,35,21,144,0
90,-38.00,-139.15,28,43.59,0,0.00,28,35,137,0
91,-38.00,-123.58,28,41.78,0,0.00,42,29,129,0
92,-38.00,-139.97,28,40.38,0,0.00,42,35,123,0
93,-38.00,-139.45,28,42.78,0,0.00,31,35,134,0
94,-38.00,-134.12,28,42.43,0,0.00,35,33,132,0
95,-38.00,-133.94,28,43.28,0,0.00,31,33,136,0
96,-38.00,-156.04,28,41.02,0,0.00,32,41,127,0
97,-38.00,-132.40,28,39.45,0,0.00,48,32,120,0
98,-38.00,-139.12,28,43.28,0,0.00,30,35,135,0
99,-38.00,-133.62,28,43.95,0,0.00,29,33,138,0
100,-38.00,-106.06,28,46.51,0,0.00,29,23,148,0
101,-38.00,-152.78,28,42.97,0,0.00,25,40,135,0
102,-38.00,-144.62,28,42.95,0,0.00,29,37,134,0
103,-38.00,-156.69,28,39.01,0,0.00,40,41,119,0
104,-38.00,-114.14,28,45.42,0,0.00,32,26,142,0
105,-38.00,-129.00,28,41.52,0,0.00,41,31,128,0
106,-38.00,-139.09,28,43.48,0,0.00,29,35,136,0
107,-38.00,-115.31,28,42.21,0,0.00,44,26,130,0
108,-38.00,-108.80,28,45.59,0,0.00,33,24,143,0
109,-38.00,-123.50,28,41.87,0,0.00,42,29,129,0
110,-38.00,-128.58,28,41.95,0,0.00,41,31,128,0
111,-38.00,-142.51,28,41.03,0,0.00,38,36,126,0
112,-38.00,-128.41,28,43.48,0,0.00,33,31,136,0
113,-38.00,-139.20,28,43.20,0,0.00,30,35,135,0
114,-38.00,-149.22,28,37.78,0,0.00,47,38,115,0
115,-38.00,-163.97,28,41.60,0,0.00,26,44,130,0
116,-38.00,-110.08,28,41.59,0,0.00,49,24,127,0
117,-38.00,-131.63,28,42.08,0,0.00,37,32,131,0
118,-38.00,-169.40,28,40.67,0,0.00,29,46,125,0
119,-38.00,-139.98,28,40.38,0,0.00,42,35,123,0
120,-38.00,-108.84,28,45.04,0,0.00,36,24,140,0
121,-38.00,-114.44,28,45.30,0,0.00,31,26,143,0
122,-38.00,-158.35,28,42.56,0,0.00,24,42,134,0
123,-38.00,-114.61,28,44.27,0,0.00,36,26,138,0
124,-38.00,-139.82,28,41.56,0,0.00,36,35,129,0
125,-38.00,-125.94,28,42.94,0,0.00,36,30,134,0
126,-38.00,-150.49,28,41.57,0,0.00,32,39,129,0
127,-38.00,-112.07,28,43.46,0,0.00,41,25,134,0
128,-38.00,-154.12,28,39.08,0,0.00,40,40,120,0
129,-38.00,-132.13,28,40.90,0,0.00,41,32,127,0
130,-38.00,-142.13,28,42.77,0,0.00,30,36,134,0
131,-38.00,-112.16,28,43.54,0,0.00,40,25,135,0
132,-38.00,-162.19,28,38.85,0,0.00,38,43,119,0
133,-38.00,-167.99,28,37.88,0,0.00,39,45,116,0
134,-38.00,-153.59,28,40.47,0,0.00,35,40,125,0
135,-38.00,-145.16,28,42.24,0,0.00,30,37,133,0
136,-38.00,-109.24,28,44.13,0,0.00,39,24,137,0
137,-38.00,-159.47,28,38.73,0,0.00,40,42,118,0
138,-38.00,-172.60,28,39.80,0,0.00,30,47,123,0
139,-38.00,-144.58,28,43.33,0,0.00,27,37,136,0
140,-38.00,-128.59,28,42.28,0,0.00,39,31,130,0
141,-38.00,-129.09,28,41.10,0,0.00,43,31,126,0
142,-38.00,-103.62,28,45.09,0,0.00,37,22,141,0
143,-38.00,-156.59,28,39.62,0,0.00,37,41,122,0
144,-38.00,-139.31,28,43.09,0,0.00,30,35,135,0
145,-38.00,-136.87,28,42.52,0,0.00,33,34,133,0
146,-38.00,-119.97,28,44.59,0,0.00,32,28,140,0
147,-38.00,-148.52,28,40.02,0,0.00,38,38,124,0
148,-37.00,-105.92,29,45.80,0,0.00,34,23,143,0
149,-37.00,-159.23,29,39.82,0,0.00,35,42,123,0
150,-37.00,-136.09,29,44.49,0,0.00,26,34,140,0
151,-37.00,-186.27,29,39.31,0,0.00,26,52,122,0
152,-37.00,-180.36,29,40.56,0,0.00,24,50,126,0
153,-37.00,-137.00,29,42.56,0,0.00,32,34,134,0
154,-37.00,-154.29,29,39.08,0,0.00,39,40,121,0
155,-23.00,-147.70,43,42.03,0,0.00,31,38,131,0
156,-23.00,-153.78,43,40.27,0,0.00,35,40,125,0
157,-23.00,-138.22,43,39.13,0,0.00,45,34,121,0
158,-23.00,-152.77,43,41.28,0,0.00,35,40,125,0
159,-23.00,-135.95,43,43.44,0,0.00,33,34,133,0
160,-23.00,-152.75,43,41.81,0,0.00,32,40,128,0
161,-23.00,-131.07,43,42.64,0,0.00,37,32,131,0
162,-23.00,-154.95,43,43.47,0,0.00,24,41,135,0
163,-23.00,-145.26,43,41.12,0,0.00,36,37,127,0
164,-23.00,-189.31,43,37.74,0,0.00,32,53,115,0
165,-23.00,-153.22,43,40.49,0,0.00,37,40,123,0
166,-23.00,-178.96,43,36.40,0,0.00,42,49,109,0
167,-23.00,-151.78,43,38.06,0,0.00,45,39,116,0
168,-23.00,-130.91,43,43.98,0,0.00,30,32,138,0
169,-23.00,-134.56,43,41.13,0,0.00,40,33,127,0
170,-23.00,-178.50,43,37.70,0,0.00,37,49,114,0
171,-23.00,-148.62,43,39.23,0,0.00,42,38,120,0
172,-23.00,-147.59,43,41.29,0,0.00,36,38,126,0
173,-23.00,-130.02,43,38.81,0,0.00,51,31,118,0
174,-23.00,-115.19,43,42.51,0,0.00,43,26,131,0
175,-23.00,-141.92,43,42.98,0,0.00,30,36,134,0
176,-23.00,-153.58,43,40.98,0,0.00,32,40,128,0
177,-23.00,-136.41,43,43.16,0,0.00,32,34,134,0
178,-23.00,-144.69,43,42.70,0,0.00,30,37,133,0
179,-23.00,-161.89,43,38.98,0,0.00,39,43,118,0
180,-23.00,-148.80,43,38.89,0,0.00,43,38,119,0
181,-23.00,-120.48,43,42.03,0,0.00,44,28,128,0
182,-23.00,-153.39,43,40.83,0,0.00,34,40,126,0
183,-23.00,-159.01,43,39.87,0,0.00,36,42,122,0
184,-23.00,-151.69,43,38.49,0,0.00,43,39,118,0
185,-23.00,-125.69,43,43.20,0,0.00,36,30,134,0
186,-23.00,-136.24,43,43.16,0,0.00,33,34,133,0
187,-23.00,-119.94,43,43.42,0,0.00,39,28,133,0
188,-23.00,-142.68,43,40.52,0,0.00,40,36,124,0
189,-23.00,-163.59,43,42.16,0,0.00,25,44,131,0
190,-23.00,-147.44,43,41.95,0,0.00,33,38,129,0
191,-23.00,-130.92,43,43.81,0,0.00,31,32,137,0
192,-23.00,-145.05,43,41.84,0,0.00,33,37,130,0
193,-23.00,-123.34,43,42.70,0,0.00,38,29,133,0
194,-23.00,-164.09,43,40.48,0,0.00,32,44,124,0
195,-23.00,-137.63,43,39.72,0,0.00,45,34,121,0
196,-23.00,-123.61,43,41.92,0,0.00,41,29,130,0
197,-23.00,-133.94,43,41.59,0,0.00,41,33,126,0
198,-23.00,-126.30,43,41.56,0,0.00,42,30,128,0
199,-23.00,-127.81,43,44.26,0,0.00,32,31,137,0
200,-23.00,-120.28,43,43.09,0,0.00,39,28,133,0
201,-23.00,-142.41,43,41.30,0,0.00,37,36,127,0
202,-23.00,-157.19,43,37.66,0,0.00,45,41,114,0
203,-23.00,-139.52,43,41.86,0,0.00,36,35,129,0
204,-23.00,-150.33,43,41.56,0,0.00,33,39,128,0
205,-23.00,-145.25,43,41.47,0,0.00,34,37,129,0
206,-23.00,-169.10,43,40.97,0,0.00,29,46,125,0
207,-23.00,-155.82,43,41.74,0,0.00,29,41,130,0
208,-23.00,-186.14,43,38.42,0,0.00,32,52,116,0
209,-23.00,-153.76,43,39.95,0,0.00,37,40,123,0
210,-23.00,-134.38,43,41.66,0,0.00,38,33,129,0
211,-23.00,-136.90,43,41.47,0,0.00,39,34,127,0
212,-23.00,-153.26,43,40.96,0,0.00,34,40,126,0
213,-23.00,-138.96,43,42.42,0,0.00,36,35,129,0
214,-23.00,-160.53,43,35.97,0,0.00,50,42,108,0
215,-23.00,-136.93,43,41.95,0,0.00,36,34,130,0
216,-23.00,-145.88,43,39.48,0,0.00,42,37,121,0
217,-23.00,-184.79,43,35.40,0,0.00,43,51,106,0
218,-23.00,-175.72,43,38.51,0,0.00,34,48,118,0
219,-23.00,-148.56,43,39.48,0,0.00,41,38,121,0
220,-23.00,-134.59,43,40.26,0,0.00,45,33,122,0
221,-20.00,-166.26,46,41.30,0,0.00,29,45,126,0
